ts	phase	decision	why	evidence	result
2026-09-08T00:00:00Z	frame	Correct reviewed defects in five sequential units	Prepare existing baseline for a new project without adding providers	7ecf330079b92ac06774612c71cd4fe06cea70ae	open
2026-09-07T22:28:37Z	audit	The initial frame row used a placeholder timestamp; later rows record verified checkpoints retrospectively	Correct the timeline without rewriting the initial row	/Users/alphab/.mdx/sessions/lilo-baseline-corrections.tsv	Initial row describes scope only; its midnight timestamp is not an observed start time
2026-09-07T22:28:37Z	auth	Require token expiry and retain sessions during transient provider failure	Avoid accepting timeless tokens or signing people out during an outage	/Users/alphab/.mdx/sessions/lilo-baseline-proof/lilo-auth-red.log	Regression tests rejected old behavior; final development gate passed
2026-09-07T22:28:37Z	auth	Seal only token pairs and make organization provisioning explicit	Prevent accidental cookie payload expansion and unwanted tenant creation	packages/auth-session/src/session.ts; packages/auth-workos/src/provider.ts	Reviewed and covered by package tests
2026-09-07T22:28:37Z	auth	Use POST signout and redirect through the provider logout URL	Prevent navigation from logging out users and complete the provider logout handoff	packages/auth-session/tests/signout.test.ts; packages/auth-workos/tests/logout.test.ts	Local request and SDK URL behavior verified; no live WorkOS session revocation claimed
2026-09-07T22:28:37Z	reuse	Exercise a generated renamed app and a separate app using packed libraries	Expose assumptions about repository paths and workspace links	scripts/consumer-check.mjs	Fixed dangling Moon and TypeScript references; pnpm published Vite exports now use compiled JavaScript
2026-09-07T22:28:37Z	tests	Inline baseline packages for framework mocks in packed tests and check HTTP behavior separately	Installed packages otherwise bypassed mocked request context	vitest.config.ts; scripts/consumer-check.mjs	Packed tests and real anonymous HTTP routes passed; vendor authentication remains untested live
2026-09-07T22:28:37Z	browser	Expose literal server route boundaries to the TanStack compiler	Opaque route factories pulled Node code into the browser and broke React startup	/Users/alphab/.mdx/sessions/lilo-baseline-proof/lilo-client-boundary-red.log	New emitted-module gate rejected the broken build with exit 1; corrected routes build successfully
2026-09-07T22:28:37Z	verification	Inspect emitted modules instead of relying on browser compatibility warnings	The first warning hook did not reject the broken build	packages/vite-config/tests/client-boundary.test.ts	Real Vite build rejects AsyncLocalStorage browser import and accepts browser code
2026-09-07T22:28:37Z	gates	Prove negative type, assertion, promise, formatting and CSS scan checks in disposable consumers	Green gates need evidence that they observe broken behavior	/Users/alphab/.mdx/sessions/lilo-baseline-proof/lilo-check-final.log	All five deliberate failures rejected and restored; generated and packed consumers passed
2026-09-07T22:28:37Z	security	Update vulnerable transitive dependencies and constrain old esbuild dependency	The dependency gate found inherited advisories	/Users/alphab/.mdx/sessions/lilo-baseline-proof/lilo-audit-final.json	Zero known vulnerabilities at audit time
2026-09-07T22:28:37Z	cleanup	Give each checkout its own Postgres identity and prove cleanup isolation	Parallel projects must not share or remove another checkout container	/Users/alphab/.mdx/sessions/lilo-baseline-proof/lilo-clean-proof.log	Exactly the owning container removed; unrelated containers unchanged; second cleanup succeeded
2026-09-07T22:28:37Z	browser	Verify dark canvas preference after reload at 390px width	Check rendered theme behavior and React startup beyond server tests	/Users/alphab/.mdx/sessions/lilo-baseline-proof/lilo-browser-proof.json	Hydrated true; content width 390; no page errors in separate browser error artifact
2026-09-07T22:28:37Z	delivery	Commit the corrected baseline as 687c3b3006af71cd4c3aa94cb88ffea9d84feb64	Keep the verified changes reviewable on an isolated branch	/Users/alphab/.mdx/sessions/lilo-baseline-proof/lilo-check-final.log	just check passed 71 tasks; read only CI pending
2026-09-07T22:29:01Z	delivery	Run forced read only CI on the committed baseline	Verify the final revision without cached results or repair	/Users/alphab/.mdx/sessions/lilo-baseline-proof/lilo-ci-final.log	MOON_FORCE=true just ci passed all 60 tasks; working tree clean at 687c3b3006af71cd4c3aa94cb88ffea9d84feb64
2026-09-07T22:32:02Z	review	GPT-5.5 independently checked the trail, proof artifacts and targeted final diff	Check the handoff claims against independent evidence	/Users/alphab/.mdx/sessions/lilo-baseline-proof	No flags; review did not include unavailable transcript or live provider acceptance
