ts	phase	decision	why	evidence	result
2026-08-16T14:42:34Z	frame	set the exit condition to a reviewable managed Grok first turn	the user asked to keep driving; a PR with live capture proof is the next reversible checkpoint	issue #386; main 2f858fcc	open
2026-08-16T14:47:37Z	ground	treat grok models as one authentication and catalog probe while leaving access unknown	authenticated and isolated unauthenticated runs both exited zero and returned the same model catalog; only the login line changed	grok 1.0.4 d846eb93d94d; live grok models A/B	design constraint confirmed
2026-08-16T14:51:42Z	ground	use an explicit HTTPS proxy route to cli-chat-proxy.grok.com for Grok capture	a bounded real prompt crossed the proxy, POSTed JSON to /v1/responses, returned SSE 200, and completed with OK	/Users/alphab/.mdx/TMP/pstack/tm-grok-386/probe_grok_transport.py; grok 1.0.4	transport boundary confirmed
2026-08-16T14:52:42Z	triage	closed PR #362 and preserved its branch	the PR encodes native-home baselines that conflict with #382 and its local successor is unpublished	https://github.com/littleorgans/transport-matters/pull/362	closed; evidence retained
2026-08-16T14:52:42Z	triage	kept PR #380 separate and untouched	the fullscreen status behavior remains valid but belongs to the overlay stack and does not overlap #386	https://github.com/littleorgans/transport-matters/pull/380	preserved
2026-08-16T14:57:44Z	ground	Freeze issue 386 ownership from three source reports plus live Grok 1.0.4 evidence	Design must reuse shared owners, execute grok models once for auth and catalog only, preserve access unknown, and admit launch only after exact release, interaction, wire, and transcript adapters exist	grok-state.md; grok-launch-flow.md; stale-pr-triage.md; live cli-chat-proxy.grok.com/v1/responses SSE 200	Grounding complete; architecture arena may start without source edits
2026-08-16T14:59:39Z	ground	Use Grok owned session id and native session directory rather than infer transcript ownership	Grok 1.0.4 exposes --session-id for a new UUID scoped conversation and writes chat_history.jsonl, events.jsonl, and updates.jsonl under a percent encoded cwd directory	grok --help; ~/.grok/sessions structure and schema-only key inspection	Launch and transcript adapters can be versioned from first hand local evidence without reading user content
2026-08-16T15:10:27Z	arena	Compare generic capability, scoped capability, and release selected plan designs	The design must be chosen against one subprocess, access truth, shared ownership, activation safety, budgets, and real Canvas proof	design-a.md; design-b.md; design-c.md; direct GROK_HOME proof; bundled docs declaring updates.jsonl authoritative	Candidate B is the smallest base so far; cross judge is evaluating precise grafts
2026-08-16T15:14:25Z	design	Select scoped combined refresh architecture and graft narrow completeness and no default safeguards	It delivers one truthful process and staged activation with the smallest change to established owners	judge.md score B 28/30; persistent design transport-matters-managed-grok-harness.md; direct GROK_HOME and updates.jsonl proof	Architecture approved autonomously; implementation unit 1 started
2026-08-16T15:20:07Z	unit-1	Commit one process Grok authentication and catalog evidence	The combined result has no access member and Grok is absent from the two independent probe registries	red ImportError for COMBINED_REFRESH_PROBE; green 9 focused; 76 adjacent passed with one DB setup error; ruff and mypy pass; commit 4e33e619	Unit 1 sealed; Grok remains unlaunchable
2026-08-16T15:26:49Z	unit-2	Add an optional closed compatibility ceiling and the native Grok home contract	Installed Grok 1.0.4 must fail closed on drift while existing Claude and Codex releases retain open ceilings and stable digests	red 5 focused failures; green 128 compatibility and home tests; Python ruff and mypy pass; shell tsc and Core Biome pass	Unit 2 ready to seal; public Grok launch remains inactive
2026-08-16T15:38:53Z	unit-3	Implement captured Grok Responses and ACP protocols before launch activation	Thin provider adapters reuse the certified Responses codec, exact route and user activity admission gate access, and the owned ACP log supplies transcript chunks	red missing wire, activity, and transcript modules; green 286 focused and totality tests; ruff and targeted mypy pass	Captured protocols ready to seal; descriptor remains discovery only
2026-08-16T15:49:50Z	Managed process boundary	Added a Grok launch profile, deterministic ACP source ownership, explicit proxy trust, and a closed captured invocation registry. Extracted the shared explicit proxy builder from Codex so Grok adds no parallel process path.	Installed Grok 1.0.4 accepts owned session, model, effort, no alt screen, and approval flags. Live TLS proof completed through mitmdump with SSL_CERT_FILE and ACP turn completion. Captured and adjacent launch suites: 83 passed. Ruff and targeted mypy passed.	ready to commit
2026-08-16T16:15:00Z	Activation boundary	Added a run scoped Grok home seeder that preserves operator configuration while forcing the exact composer title, plus one exhaustive Runtime protocol table for readiness, prompt submission, and interrupt bytes.	Grok title configuration is user controlled, so exact readiness is deterministic only in the managed overlay. Python home and readiness suites: 151 passed across focused runs. Runtime: 57 passed. Runtime and shell TypeScript checks passed.	Activation code is green; certification remains deliberately blocked
2026-08-16T16:18:00Z	CLI gap	Recorded a failing test proving the launch eligible Grok descriptor has no registered `transport-matters grok` command.	Issue #386 explicitly requires managed CLI launch. Grok cases exit 2 before reaching the shared enablement boundary.	Refactor the existing explicit proxy command lifecycle, do not copy Codex
2026-08-16T16:44:00Z	Activation scaffold	Committed the complete managed Grok product path with both channel pointers paused at draft r1.	A real captured run must certify the release before either pointer becomes active.	commit 4a1c285e; just check green; just test green	Ready for live preview proof
2026-08-16T17:03:53Z	Preview identity	Created one preview Space and detected Worktree through the public REST boundary, then selected its root Canvas through the Desktop command center.	The preview database had no durable identity for the new worktree, while the Desktop supplied the correct workspace hash 7f44ee47.	Space bfcd8b5f-d8c5-480c-bdc0-9392a81be162; Worktree 91d83614-d491-428c-8513-05a2793cf40a; Canvas 94ce4349-b462-4129-90f8-011fb1784acc	Canvas startup flow restored without clearing saved browser state
2026-08-16T17:05:55Z	Live proof	Approved missing provider access for one launch and completed one ordinary Grok 4.6 turn inside Canvas.	Provider access cannot be inferred from `grok models`; only a genuine captured provider outcome may establish it.	Run 8c7c503f-1cc1-4ab9-80b6-3a0f272a5f96; session 788a9354-a9bc-4a11-a40d-60e132b6be09; ACP transcript 4 records; Session picker projected the assistant text; inventory access available from provider_outcome	Live launch, capture, transcript, Activity, and access proof passed
2026-08-16T17:11:00Z	Certification	Minted the immutable successor from committed bytes and the live run, verified it while paused, then activated stable and preview pointers.	The draft r1 digests were intentionally unsealed; the mint derived r2 from 7 runtime predicates, 3 certified fixtures, and a pinned 316 test suite.	certification digest f73095d890a6aa35b84decfcdfc0e8d403852fd4762fe991ceb91dbc27ca967f; release grok-1.0.4-r2; verify activation passed	Active sealed release ready for final repository gates
2026-08-16T17:13:30Z	Final gates	Re-ran the complete repository checks and test suites after activating r2.	The final manifest and immutable record must pass the same broad gates as the implementation commits.	just check: all TypeScript projects, Ruff, mypy 761 files; just test: Desktop 108, Shell 1415, Common 27, Contract 21, Activity 291 with 36 skipped, Runtime 236 with 3 skipped, Space 58 with 3 skipped, Gateway 22, API 3745 with 25 warnings	Full final verification passed
2026-08-16T17:32:37Z	Final review closure	Closed five cross model findings: xAI template routing, child home transcript ownership, direct mint parity, Grok specific binary guidance, and Responses live status.	Each finding crossed a product boundary that focused implementation tests alone did not prove.	Focused Python 312 passed; Core contract and typecheck passed; just check green with mypy 763 files; just test green with Shell 1416 and API 3751	Reviewer findings fixed and fully verified
