ts	phase	decision	why	evidence	result
2026-08-18T11:33:25Z	frame	took the review findings into a real change on feat/turn-rotate-selection	Stuart asked for no shortcuts after the read-only review	~/.mdx/research/cubicell-pr-182-turn-selection-review.md	run started
2026-08-18T11:33:25Z	harness	captured the gate on the untouched PR head before editing	so every later check reads as old value against new value	worktree .claude/worktrees/turn at 01a4980	tsc 0, 30/30 tests, 3012ms
2026-08-18T11:35:08Z	reset	kept the reviewer's tolerance idea after testing it, rejected the reasoning given for it	the stated reason was wrong; probe found 4 reachable states that are identity in effect but not in bits	probe over depth-6 turn walks, example [-6.12e-17, 2.22e-16, 1.23e-32]	tolerance justified
2026-08-18T11:35:08Z	reset	checked the tolerance does not break the 360-degree feature	a full revolution must stay authored as turned, not collapse to unturned	[0,0,2pi] still reads as turned	feature preserved
2026-08-18T11:39:34Z	reset	fixed Reset enablement to read the resolved scope, added a contract case	turning A then shift-clicking B killed Reset while A was still turned	commit 39a7694	31/31 green
2026-08-18T11:39:34Z	reset	proved the new test fails against the old exact comparison before keeping it	a test that passes either way guards nothing	reverted tolerance, 1 failed / 30 passed	test discriminates
2026-08-18T11:52:06Z	rename	renamed the operation to turn-cube before schema 7 ships	six of the eight scope variants are not selections, and materialization stores ids anyway	commit d89f021	31/31 green
2026-08-18T11:52:06Z	cleanup	removed the dead flag, the loose type and the duplicated CSS rule	each was unreachable, restated or repeated	commit e11a3e1	31/31 green
2026-08-18T11:52:06Z	vec3	finished the migration the branch started, one home for Vec3 and the vector maths	dot existed three times, subtract three times; a third unused home is worse than either end state	commit a453de5	31/31 green, budgets recovered 49/91/42 B
2026-08-18T11:52:06Z	tests	closed the reset undo gap and derived the previous-schema constant	the constant had gone stale across two bumps, so pin it to the source	commit 8d3613d	31/31 green
2026-08-18T11:52:06Z	verify	drove the fix in the running app, not just the suite	the bug was a button that would not light, which no unit test observes	localhost:5199, /tmp/cubicell-turn-verified.png	Reset lit with active cube untouched, click cleared the turned cube
2026-08-18T11:52:06Z	verify	re-ran the maths probe after moving the rotation code	a refactor of trigonometry has to prove it did not move a number	basis vs three.js 0.000e+0, eight quarter turns 4.0000 PI	behaviour unchanged
2026-08-18T11:53:06Z	verify	caught a bad number as my own probe bug rather than a code defect	a composed-turn error of 2.0 was my probe calling random() per basis vector	corrected probe, error fell to 4.118e-13	no defect, probe was wrong
2026-08-18T11:53:06Z	review	checked the reviewers instead of copying them	one cited src/domain/cameraTrackValidation.ts, which does not exist; the file is src/state/cameraTrackValidation.ts	grep over src	claim corrected, finding still real
2026-08-18T11:53:06Z	cleanup	declined to migrate two unrelated border-top rules onto the new divider class	a 1px top border in two other components is not shared-utility duplication	grid-composer.css:76, motion.css:619	left alone on purpose
2026-08-18T11:53:06Z	cleanup	left the Euler readout scoped to the active cube	showing one cube's raw angles is a defensible display choice, unlike a button that will not light	src/panels/CubeSection.tsx	open, flagged to Stuart
2026-08-18T11:57:01Z	docs	rewrote the PR body to match the branch	it still named turn-selection and asked an open question the work had answered	gh pr edit 182	published, codesmith footer preserved
2026-08-18T12:08:09Z	docs	restored the unlit-renderer question I had dropped from the PR body	I claimed to have kept the open question and had only kept half of it	gh pr edit 182	corrected
2026-08-18T12:10:07Z	land	squash merged 182 and synced local to main	gate green on the merged commit, worktree and branch removed	main 02690dc, 31/31 tests	landed
2026-08-18T12:10:07Z	land	left backup/turn-rotate-selection-pre-rebase alone	deleting someone else's safety net is not mine to do unasked	branch at 1796e43	open, flagged to Stuart
2026-08-18T12:13:01Z	cleanup	deleted backup/turn-rotate-selection-pre-rebase after reading what was on it	it held real domain coverage, not just a stale copy of the branch	tip 1796e43, salvage in ~/.mdx/research/cubicell-turn-tests-salvage/	deleted, 4 uncovered cases recorded
2026-08-18T14:22:45Z	followup	ported the camera-maths guard as PR 183, rewritten against three.js	the salvaged version asserted one hardcoded value, which guards little and explains nothing	https://github.com/littleorgans/cubicell/pull/183	CI green, open for review
2026-08-18T14:22:45Z	followup	mutation tested both new cases instead of trusting them green	a guard nobody has seen fail is not yet a guard	sign flip fails 2 cases; aliasing break fails only the aliasing case	both discriminate
2026-08-18T14:48:16Z	land	squash merged 183 and synced local	gate green on the merged commit before and after	main 8e80e77, 33/33 tests	landed
